id,scope,transitions,t1_cycle_type,t0_rank,t0_indegrees,t0_kernel,t0_kernel_sizes,collision_pair,collision_orbit,collision_orbit_size,conjugacy_canonical,automorphism_count,semigroup_size,semigroup_rank_profile,maps,endpoints,block_ranks,block_idempotent,b_equals_p_f,separating_starts,champion_separator,global_id
53,permutation_pool,"[[1,1],[2,2],[3,4],[0,3],[4,0]]","[1,4]",5,"[1,1,1,1,1]","[[0],[1],[2],[3],[4]]","[1,1,1,1,1]",,[],0,"[[0,1],[2,2],[3,3],[4,0],[1,4]]",1,120,"{""5"":120}","{""A"":[4,0,1,2,3],""C"":[3,0,1,4,2],""B"":[4,3,0,1,2],""U"":[2,4,3,0,1],""V"":[2,4,3,0,1]}","{""A"":4,""C"":3,""B"":4,""U"":2,""V"":2}","{""A"":5,""C"":5,""B"":5,""U"":5,""V"":5}","{""A"":false,""C"":false,""B"":false,""U"":false,""V"":false}",True,[],False,56397
54,permutation_pool,"[[1,1],[2,3],[0,0],[3,4],[4,2]]",[5],5,"[1,1,1,1,1]","[[0],[1],[2],[3],[4]]","[1,1,1,1,1]",,[],0,"[[0,1],[1,2],[3,3],[4,4],[2,0]]",1,60,"{""5"":60}","{""A"":[1,4,3,0,2],""C"":[4,3,0,2,1],""B"":[0,4,3,2,1],""U"":[4,1,2,0,3],""V"":[4,1,2,0,3]}","{""A"":1,""C"":4,""B"":0,""U"":4,""V"":4}","{""A"":5,""C"":5,""B"":5,""U"":5,""V"":5}","{""A"":false,""C"":false,""B"":false,""U"":false,""V"":false}",True,[],False,57024
55,permutation_pool,"[[1,1],[2,3],[0,0],[4,2],[3,4]]","[1,4]",5,"[1,1,1,1,1]","[[0],[1],[2],[3],[4]]","[1,1,1,1,1]",,[],0,"[[1,0],[0,2],[3,3],[4,4],[2,1]]",1,120,"{""5"":120}","{""A"":[1,3,4,2,0],""C"":[4,3,0,2,1],""B"":[0,4,3,1,2],""U"":[4,1,2,3,0],""V"":[4,1,2,3,0]}","{""A"":1,""C"":4,""B"":0,""U"":4,""V"":4}","{""A"":5,""C"":5,""B"":5,""U"":5,""V"":5}","{""A"":false,""C"":false,""B"":false,""U"":false,""V"":false}",True,[],False,57096
56,permutation_pool,"[[1,1],[2,3],[0,4],[3,2],[4,0]]",[5],5,"[1,1,1,1,1]","[[0],[1],[2],[3],[4]]","[1,1,1,1,1]",,[],0,"[[0,1],[2,2],[3,4],[1,0],[4,3]]",1,60,"{""5"":60}","{""A"":[4,0,1,2,3],""C"":[2,0,4,1,3],""B"":[4,2,0,1,3],""U"":[3,4,2,0,1],""V"":[3,4,2,0,1]}","{""A"":4,""C"":2,""B"":4,""U"":3,""V"":3}","{""A"":5,""C"":5,""B"":5,""U"":5,""V"":5}","{""A"":false,""C"":false,""B"":false,""U"":false,""V"":false}",True,[],False,58272
57,permutation_pool,"[[1,1],[2,3],[0,4],[4,0],[3,2]]","[2,3]",5,"[1,1,1,1,1]","[[0],[1],[2],[3],[4]]","[1,1,1,1,1]",,[],0,"[[1,1],[2,3],[0,4],[4,0],[3,2]]",1,120,"{""5"":120}","{""A"":[3,0,1,4,2],""C"":[2,0,4,1,3],""B"":[4,2,0,3,1],""U"":[3,4,2,1,0],""V"":[3,4,2,1,0]}","{""A"":3,""C"":2,""B"":4,""U"":3,""V"":3}","{""A"":5,""C"":5,""B"":5,""U"":5,""V"":5}","{""A"":false,""C"":false,""B"":false,""U"":false,""V"":false}",True,[],False,58344
58,permutation_pool,"[[1,1],[2,3],[3,0],[4,4],[0,2]]",[5],5,"[1,1,1,1,1]","[[0],[1],[2],[3],[4]]","[1,1,1,1,1]",,[],0,"[[1,1],[2,3],[3,0],[4,4],[0,2]]",1,60,"{""5"":60}","{""A"":[1,3,4,2,0],""C"":[2,3,1,4,0],""B"":[0,2,3,1,4],""U"":[2,1,4,3,0],""V"":[2,1,4,3,0]}","{""A"":1,""C"":2,""B"":0,""U"":2,""V"":2}","{""A"":5,""C"":5,""B"":5,""U"":5,""V"":5}","{""A"":false,""C"":false,""B"":false,""U"":false,""V"":false}",True,[],False,61704
59,permutation_pool,"[[1,1],[2,3],[3,2],[0,4],[4,0]]","[1,4]",5,"[1,1,1,1,1]","[[0],[1],[2],[3],[4]]","[1,1,1,1,1]",,[],0,"[[0,1],[2,2],[3,4],[4,3],[1,0]]",1,20,"{""5"":20}","{""A"":[3,2,4,1,0],""C"":[1,4,0,2,3],""B"":[2,1,4,0,3],""U"":[0,4,3,1,2],""V"":[0,4,3,1,2]}","{""A"":3,""C"":1,""B"":2,""U"":0,""V"":0}","{""A"":5,""C"":5,""B"":5,""U"":5,""V"":5}","{""A"":false,""C"":false,""B"":false,""U"":false,""V"":false}",True,[],False,61972
60,permutation_pool,"[[1,1],[2,3],[3,2],[4,0],[0,4]]","[1,1,3]",5,"[1,1,1,1,1]","[[0],[1],[2],[3],[4]]","[1,1,1,1,1]",,[],0,"[[1,0],[2,2],[3,4],[4,3],[0,1]]",1,60,"{""5"":60}","{""A"":[3,0,1,4,2],""C"":[4,0,3,1,2],""B"":[2,4,0,3,1],""U"":[3,2,4,1,0],""V"":[3,2,4,1,0]}","{""A"":3,""C"":4,""B"":2,""U"":3,""V"":3}","{""A"":5,""C"":5,""B"":5,""U"":5,""V"":5}","{""A"":false,""C"":false,""B"":false,""U"":false,""V"":false}",True,[],False,62056
61,permutation_pool,"[[1,1],[2,3],[3,4],[0,0],[4,2]]","[2,3]",5,"[1,1,1,1,1]","[[0],[1],[2],[3],[4]]","[1,1,1,1,1]",,[],0,"[[0,1],[2,0],[3,3],[4,4],[1,2]]",1,120,"{""5"":120}","{""A"":[4,2,3,0,1],""C"":[1,2,3,4,0],""B"":[4,1,2,3,0],""U"":[0,2,3,4,1],""V"":[0,2,3,4,1]}","{""A"":4,""C"":1,""B"":4,""U"":0,""V"":0}","{""A"":5,""C"":5,""B"":5,""U"":5,""V"":5}","{""A"":false,""C"":false,""B"":false,""U"":false,""V"":false}",True,[],False,62424
62,permutation_pool,"[[1,1],[2,3],[4,0],[3,2],[0,4]]","[1,4]",5,"[1,1,1,1,1]","[[0],[1],[2],[3],[4]]","[1,1,1,1,1]",,[],0,"[[0,1],[2,3],[3,2],[4,4],[1,0]]",1,20,"{""5"":20}","{""A"":[1,4,3,0,2],""C"":[2,3,1,4,0],""B"":[0,2,3,4,1],""U"":[2,1,4,0,3],""V"":[2,1,4,0,3]}","{""A"":1,""C"":2,""B"":0,""U"":2,""V"":2}","{""A"":5,""C"":5,""B"":5,""U"":5,""V"":5}","{""A"":false,""C"":false,""B"":false,""U"":false,""V"":false}",True,[],False,63456
